Question Bank,,,,,,,,,,,,,,,,,,,,,,,,,
Source: approved methodology framework and methodology implementation workbook. 102 structured questions + 2 open-ended questions are included as the implementation baseline.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Question ID,Domain,Sub-Domain,Indicator,KPI,Question Text,Answer Type,Answer Options,Analytical Dim.,Target Group,Required/Optional,Used in MVP,Report Mapping,Notes,,,,,,,,,,,,
H01,Health,Access to Basic Healthcare,Health Facility Availability,% of villages with a basic health facility within 5 km,Is there a functioning health facility (clinic/health center) within 5 km of this village?,Single select,Yes / No / Don't know,Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
H02,Health,Access to Basic Healthcare,Health Facility Availability,Average distance to nearest functioning health facility (km),Approximately how far (in km) is it from the village center to the nearest functioning health facility?,Numeric,Open numeric value (km),Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
H03,Health,Access to Basic Healthcare,Service Continuity,% of the year the nearest facility is functioning (not closed/under-staffed),"In the last 12 months, was the nearest health facility ever closed or without adequate staff for more than two consecutive weeks?",Single select,Yes / No / Don't know,Availability,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
H04,Health,Access to Basic Healthcare,Transport Barrier,% of households reporting transport as a barrier to healthcare access,Does the lack of transport prevent household members from reaching health services when needed?,Single select,Always / Often / Sometimes / Never,Access,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
H05,Health,Maternal & Child Health,Antenatal Care Coverage,% of pregnant women who received 4+ antenatal visits,"Among women in this household who were pregnant in the last two years, did they receive at least 4 antenatal check-ups?",Single select,"Yes, all of them / Some of them / None of them / Not applicable",Utilization,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
H06,Health,Maternal & Child Health,Skilled Birth Attendance,% of births attended by a skilled health worker,"Was the most recent birth in this household attended by a doctor, nurse, or trained midwife?",Single select,Yes / No / Not applicable,Utilization,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
H07,Health,Maternal & Child Health,Child Immunization,% of children under 5 who completed the immunization schedule,Have all children under 5 in this household received all scheduled vaccinations?,Single select,"Yes, all / Partially / None / No children under 5",Utilization,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
H08,Health,Maternal & Child Health,Child Growth Monitoring,% of children under 5 under regular growth/nutrition monitoring,Are children under 5 in this household weighed and growth-monitored regularly at a health facility?,Single select,"Yes, regularly / Sometimes / Never / No children under 5",Utilization,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
H09,Health,Disease Burden,Chronic Disease Prevalence,% of households with at least one member with a diagnosed chronic condition,"Does any member of this household have a diagnosed chronic condition (diabetes, hypertension, etc.)?",Single select,Yes / No / Don't know,Risk,Household/Village,Required,Yes,Individual + Collective,,,,,,,,,,,,,
H10,Health,Disease Burden,Chronic Care Continuity,% of individuals with chronic illness able to access regular follow-up care,"If yes, can this individual access regular follow-up care/medication for the condition locally?",Single select,"Yes, easily / Yes, with difficulty / No / Not applicable",Availability,Household/Village,Optional,Yes,Individual + Collective,,,,,,,,,,,,,
